date,price_per_lb
2015-08-03,128.14999389648438
2015-08-04,131.9499969482422
2015-08-05,131.75
2015-08-06,131.4499969482422
2015-08-07,132.4499969482422
2015-08-10,126.5999984741211
2015-08-11,131.39999389648438
2015-08-12,132.1999969482422
2015-08-13,131.0500030517578
2015-08-14,132.0500030517578
2015-08-17,131.60000610351562
2015-08-18,130.89999389648438
2015-08-19,132.4499969482422
2015-08-20,128.64999389648438
2015-08-21,127.69999694824219
2015-08-24,119.9000015258789
2015-08-25,119.94999694824219
2015-08-26,125.3499984741211
2015-08-27,130.0
2015-08-28,131.4499969482422
2015-08-31,129.60000610351562
2015-09-01,129.64999389648438
2015-09-02,129.0500030517578
2015-09-03,128.89999389648438
2015-09-04,129.1999969482422
2015-09-08,126.30000305175781
2015-09-09,124.1500015258789
2015-09-10,124.3499984741211
2015-09-11,123.94999694824219
2015-09-14,123.5
2015-09-15,122.30000305175781
2015-09-16,122.75
2015-09-17,120.94999694824219
2015-09-18,120.19999694824219
2015-09-21,119.80000305175781
2015-09-22,115.80000305175781
2015-09-23,110.9000015258789
2015-09-24,110.25
2015-09-25,108.05000305175781
2015-09-28,106.80000305175781
2015-09-29,106.19999694824219
2015-09-30,105.55000305175781
2015-10-01,105.3499984741211
2015-10-02,105.3499984741211
2015-10-05,106.30000305175781
2015-10-06,107.8499984741211
2015-10-07,108.69999694824219
2015-10-08,110.5999984741211
2015-10-09,115.9000015258789
2015-10-12,117.4000015258789
2015-10-13,121.0999984741211
2015-10-14,127.44999694824219
2015-10-15,131.14999389648438
2015-10-16,135.10000610351562
2015-10-19,138.5500030517578
2015-10-20,133.5
2015-10-21,134.0500030517578
2015-10-22,135.39999389648438
2015-10-23,135.85000610351562
2015-10-26,135.0
2015-10-27,138.10000610351562
2015-10-28,136.1999969482422
2015-10-29,134.1999969482422
2015-10-30,134.64999389648438
2015-11-02,133.89999389648438
2015-11-03,135.5500030517578
2015-11-04,134.64999389648438
2015-11-05,134.75
2015-11-06,138.35000610351562
2015-11-09,139.25
2015-11-10,149.0500030517578
2015-11-11,153.64999389648438
2015-11-12,156.25
2015-11-13,152.9499969482422
2015-11-16,153.5500030517578
2015-11-17,146.85000610351562
2015-11-18,151.85000610351562
2015-11-19,151.0500030517578
2015-11-20,150.0500030517578
2015-11-23,147.85000610351562
2015-11-24,146.64999389648438
2015-11-25,144.5
2015-11-27,143.1999969482422
2015-11-30,141.75
2015-12-01,140.4499969482422
2015-12-02,140.5
2015-12-03,140.6999969482422
2015-12-04,139.9499969482422
2015-12-07,143.1999969482422
2015-12-08,143.25
2015-12-09,151.85000610351562
2015-12-10,148.60000610351562
2015-12-11,150.10000610351562
2015-12-14,149.64999389648438
2015-12-15,147.0
2015-12-16,147.9499969482422
2015-12-17,144.5500030517578
2015-12-18,143.89999389648438
2015-12-21,143.6999969482422
2015-12-22,147.39999389648438
2015-12-23,148.85000610351562
2015-12-24,148.3000030517578
2015-12-28,150.39999389648438
2015-12-29,148.3000030517578
2015-12-30,138.5
2015-12-31,140.0
2016-01-04,143.60000610351562
2016-01-05,142.10000610351562
2016-01-06,143.0500030517578
2016-01-07,137.64999389648438
2016-01-08,130.85000610351562
2016-01-11,132.89999389648438
2016-01-12,132.0
2016-01-13,131.35000610351562
2016-01-14,130.25
2016-01-15,127.19999694824219
2016-01-19,125.05000305175781
2016-01-20,120.05000305175781
2016-01-21,120.69999694824219
2016-01-22,121.6500015258789
2016-01-25,123.94999694824219
2016-01-26,124.19999694824219
2016-01-27,124.25
2016-01-28,133.0500030517578
2016-01-29,132.39999389648438
2016-02-01,134.1999969482422
2016-02-02,136.5500030517578
2016-02-03,135.64999389648438
2016-02-04,136.64999389648438
2016-02-05,135.0500030517578
2016-02-08,133.35000610351562
2016-02-09,132.1999969482422
2016-02-10,131.5500030517578
2016-02-11,129.9499969482422
2016-02-12,129.8000030517578
2016-02-16,136.10000610351562
2016-02-17,131.5500030517578
2016-02-18,130.10000610351562
2016-02-19,130.60000610351562
2016-02-22,125.30000305175781
2016-02-23,126.5999984741211
2016-02-24,125.5
2016-02-25,127.05000305175781
2016-02-26,124.80000305175781
2016-02-29,121.4000015258789
2016-03-01,123.30000305175781
2016-03-02,122.8499984741211
2016-03-03,123.30000305175781
2016-03-04,119.80000305175781
2016-03-07,113.94999694824219
2016-03-08,118.3499984741211
2016-03-09,122.8499984741211
2016-03-10,119.69999694824219
2016-03-11,121.4000015258789
2016-03-14,127.3499984741211
2016-03-15,128.60000610351562
2016-03-16,127.8499984741211
2016-03-17,127.55000305175781
2016-03-18,127.75
2016-03-21,127.9000015258789
2016-03-22,134.0
2016-03-23,135.85000610351562
2016-03-24,135.89999389648438
2016-03-28,135.10000610351562
2016-03-29,136.6999969482422
2016-03-30,141.8000030517578
2016-03-31,147.1999969482422
2016-04-01,147.39999389648438
2016-04-04,143.6999969482422
2016-04-05,143.25
2016-04-06,144.89999389648438
2016-04-07,143.64999389648438
2016-04-08,138.89999389648438
2016-04-11,137.0500030517578
2016-04-12,135.9499969482422
2016-04-13,140.9499969482422
2016-04-14,140.6999969482422
2016-04-15,137.25
2016-04-18,138.14999389648438
2016-04-19,134.25
2016-04-20,129.5500030517578
2016-04-21,127.4000015258789
2016-04-22,125.75
2016-04-25,126.75
2016-04-26,123.25
2016-04-27,124.1500015258789
2016-04-28,126.1500015258789
2016-04-29,124.55000305175781
2016-05-02,134.35000610351562
2016-05-03,133.5
2016-05-04,139.8000030517578
2016-05-05,138.39999389648438
2016-05-06,142.10000610351562
2016-05-09,142.0500030517578
